year,name,age,sex,genotype,value
2020,total_cancer_deaths,0,female,total,0
2020,total_cancer_deaths,15,female,total,3
2020,total_cancer_deaths,20,female,total,11
2020,total_cancer_deaths,25,female,total,48
2020,total_cancer_deaths,30,female,total,185
2020,total_cancer_deaths,35,female,total,394
2020,total_cancer_deaths,40,female,total,578
2020,total_cancer_deaths,45,female,total,721
2020,total_cancer_deaths,50,female,total,808
2020,total_cancer_deaths,55,female,total,760
2020,total_cancer_deaths,60,female,total,556
2020,total_cancer_deaths,65,female,total,330
2020,total_cancer_deaths,70,female,total,254
2020,total_cancer_deaths,75,female,total,175
2020,total_cancer_deaths,80,female,total,91
2020,total_cancer_deaths,85,female,total,57
