year,n_alive
1950,39336197
1951,40120872
1952,40976308
1953,41877463
1954,42781095
1955,43782969
1956,44848126
1957,45967207
1958,47153838
1959,48331743
1960,49678182
1961,51114676
1962,52650862
1963,54272460
1964,55915771
1965,57633160
1966,59367158
1967,61163360
1968,63045615
1969,64945689
1970,66788127
1971,68295594
1972,68456814
1973,70236597
1974,72053039
1975,73842575
1976,75558114
1977,77202045
1978,79073530
1979,80941570
1980,82874731
1981,84984798
1982,87324874
1983,89785798
1984,92305158
1985,94763320
1986,97154878
1987,99388614
1988,101591898
1989,103785769
1990,106001578
1991,108293724
1992,110191945
1993,112352260
1994,114485254
1995,116744529
1996,118842148
1997,120911588
1998,123166863
1999,125534079
2000,127975569
2001,130411085
2002,132929883
2003,135349769
2004,137656642
2005,139922808
2006,141902371
2007,143355291
2008,144916577
2009,145926059
2010,147487561
2011,149294718
2012,151127293
2013,153054006
2014,155006273
2015,156916324
2016,158743675
2017,160825462
2018,162762465
2019,164605451
2020,166426993
2021,168414908
2022,170297594
2023,172075151
2024,173833487
2025,175568935
2026,177274084
2027,178938187
2028,180565741
2029,182146429
2030,183684728
2031,185163559
2032,186593045
2033,187969007
2034,189290166
2035,190560673
2036,191772554
2037,192922763
2038,194021289
2039,195063005
2040,196054988
2041,196997258
2042,197892170
2043,198743001
2044,199562100
2045,200340370
2046,201078386
2047,201780907
2048,202442538
2049,203059625
2050,203638097
2051,204171703
2052,204656373
2053,205106936
2054,205502315
2055,205855613
2056,206166929
2057,206422736
2058,206622260
2059,206770313
2060,206865372
2061,206909513
2062,206902493
2063,206842314
2064,206723464
2065,206550505
2066,206323188
2067,206055166
2068,205734972
2069,205363188
2070,204947309
2071,204489363
2072,203983866
2073,203435449
2074,202848482
2075,202221521
2076,201561452
2077,200861086
2078,200118738
2079,199340970
2080,198525190
2081,197679962
2082,196800221
2083,195890103
2084,194951163
2085,193978287
2086,192973586
2087,191936271
2088,190880990
2089,189802364
2090,188700940
2091,187585041
2092,186444547
2093,185286409
2094,184112235
2095,182936118
2096,181748099
2097,180557521
2098,179361514
2099,178163546
2100,176964325
2101,175767751
