year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,3
2020,cancers,20,female,total,9
2020,cancers,25,female,total,10
2020,cancers,30,female,total,58
2020,cancers,35,female,total,123
2020,cancers,40,female,total,195
2020,cancers,45,female,total,242
2020,cancers,50,female,total,276
2020,cancers,55,female,total,301
2020,cancers,60,female,total,294
2020,cancers,65,female,total,238
2020,cancers,70,female,total,155
2020,cancers,75,female,total,101
2020,cancers,80,female,total,47
2020,cancers,85,female,total,15
