year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,3
2020,cancers,20,female,total,22
2020,cancers,25,female,total,117
2020,cancers,30,female,total,294
2020,cancers,35,female,total,496
2020,cancers,40,female,total,696
2020,cancers,45,female,total,949
2020,cancers,50,female,total,1105
2020,cancers,55,female,total,1134
2020,cancers,60,female,total,1032
2020,cancers,65,female,total,796
2020,cancers,70,female,total,574
2020,cancers,75,female,total,340
2020,cancers,80,female,total,153
2020,cancers,85,female,total,61
