year,n_alive
1950,12174049
1951,12417440
1952,12674142
1953,12941088
1954,13208119
1955,13491282
1956,13785572
1957,14092626
1958,14412719
1959,14725704
1960,15081510
1961,15471607
1962,15874961
1963,16297206
1964,16738783
1965,17192926
1966,17683582
1967,18199895
1968,18744315
1969,19301283
1970,19864962
1971,20438504
1972,20987400
1973,21559417
1974,22148394
1975,22748437
1976,23356994
1977,23953038
1978,24559890
1979,25470596
1980,26334923
1981,27082450
1982,27833115
1983,28605324
1984,29405025
1985,30354677
1986,31245425
1987,32204839
1988,33220309
1989,34279794
1990,35371989
1991,36603092
1992,37786532
1993,38878073
1994,40283616
1995,42740354
1996,43831229
1997,44406190
1998,45238207
1999,46552842
2000,47901635
2001,49330999
2002,50882315
2003,52441828
2004,53969451
2005,55661763
2006,57438730
2007,59324531
2008,61254313
2009,63245135
2010,65295329
2011,67487185
2012,69821353
2013,72174386
2014,74745656
2015,77325521
2016,79988286
2017,82873667
2018,85692879
2019,88481831
2020,91331950
2021,94374379
2022,97413858
2023,100606566
2024,103919050
2025,107331178
2026,110819941
2027,114395380
2028,118056530
2029,121801785
2030,125631200
2031,129532906
2032,133513500
2033,137564119
2034,141689261
2035,145888791
2036,150162623
2037,154483583
2038,158847891
2039,163263657
2040,167742044
2041,172285587
2042,176866019
2043,181505011
2044,186175577
2045,190872123
2046,195635513
2047,200432316
2048,205276314
2049,210157273
2050,215055760
2051,219932247
2052,224823630
2053,229743638
2054,234681665
2055,239612831
2056,244548919
2057,249487867
2058,254431633
2059,259388180
2060,264317235
2061,269280139
2062,274204422
2063,279124151
2064,284050074
2065,288980202
2066,293885105
2067,298775713
2068,303691302
2069,308551611
2070,313351788
2071,318105104
2072,322829750
2073,327552071
2074,332215703
2075,336841496
2076,341389829
2077,345882357
2078,350282751
2079,354689322
2080,359016989
2081,363307645
2082,367522032
2083,371692195
2084,375784333
2085,379792683
2086,383763521
2087,387644084
2088,391454475
2089,395195019
2090,398840249
2091,402417825
2092,405885099
2093,409294048
2094,412631191
2095,415917659
2096,419104094
2097,422195018
2098,425203383
2099,428144709
2100,430995458
2101,433761343
