year,name,age,sex,genotype,value
2020,total_cancer_deaths,0,female,total,0
2020,total_cancer_deaths,15,female,total,6
2020,total_cancer_deaths,20,female,total,30
2020,total_cancer_deaths,25,female,total,37
2020,total_cancer_deaths,30,female,total,244
2020,total_cancer_deaths,35,female,total,746
2020,total_cancer_deaths,40,female,total,1429
2020,total_cancer_deaths,45,female,total,2200
2020,total_cancer_deaths,50,female,total,2952
2020,total_cancer_deaths,55,female,total,3410
2020,total_cancer_deaths,60,female,total,3351
2020,total_cancer_deaths,65,female,total,2567
2020,total_cancer_deaths,70,female,total,1898
2020,total_cancer_deaths,75,female,total,1219
2020,total_cancer_deaths,80,female,total,645
2020,total_cancer_deaths,85,female,total,263
