year,n_alive
1950,68862949
1951,70272289
1952,71766405
1953,73375250
1954,75040723
1955,76809926
1956,78673078
1957,80650596
1958,82731372
1959,84906135
1960,87189212
1961,89576550
1962,92057326
1963,94633651
1964,97291402
1965,100058719
1966,102257018
1967,104865192
1968,107656305
1969,110621142
1970,113677349
1971,116779437
1972,119914833
1973,123093458
1974,126324659
1975,129565732
1976,132860696
1977,136181353
1978,139541727
1979,142960201
1980,146425972
1981,149928220
1982,153444454
1983,157012861
1984,160568361
1985,164095563
1986,167487825
1987,170782721
1988,174060059
1989,177329234
1990,180569113
1991,183750635
1992,186971822
1993,190145010
1994,193329563
1995,196527503
1996,199752821
1997,202994760
1998,206261254
1999,209449717
2000,212544104
2001,215600739
2002,218624134
2003,221606049
2004,224554193
2005,227322995
2006,230287291
2007,233307563
2008,236409014
2009,239464072
2010,242498526
2011,245533820
2012,248665574
2013,251779816
2014,254772020
2015,257687503
2016,260496436
2017,263203928
2018,265793777
2019,268339908
2020,270825848
2021,272890093
2022,274616289
2023,276386389
2024,278681856
2025,280914242
2026,283094370
2027,285207994
2028,287258470
2029,289262793
2030,291204034
2031,293096166
2032,294931493
2033,296703432
2034,298424078
2035,300078269
2036,301687086
2037,303244288
2038,304733163
2039,306163389
2040,307521834
2041,308807785
2042,310021314
2043,311166000
2044,312241864
2045,313216764
2046,314117199
2047,314953081
2048,315705635
2049,316370045
2050,316967956
2051,317482470
2052,317931022
2053,318316258
2054,318629614
2055,318881121
2056,319079480
2057,319231170
2058,319335751
2059,319403947
2060,319427657
2061,319414753
2062,319366494
2063,319287675
2064,319183347
2065,319048267
2066,318872810
2067,318663860
2068,318439503
2069,318176777
2070,317878921
2071,317551769
2072,317211838
2073,316848199
2074,316457729
2075,316041788
2076,315593691
2077,315113549
2078,314608066
2079,314075953
2080,313509972
2081,312921751
2082,312305670
2083,311664481
2084,310992390
2085,310291706
2086,309548291
2087,308780461
2088,308001979
2089,307199276
2090,306373830
2091,305522538
2092,304649997
2093,303772138
2094,302866892
2095,301961248
2096,301022840
2097,300062485
2098,299095263
2099,298116782
2100,297127721
2101,296119229
