year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,47
2020,cancers,25,female,total,252
2020,cancers,30,female,total,460
2020,cancers,35,female,total,719
2020,cancers,40,female,total,972
2020,cancers,45,female,total,1085
2020,cancers,50,female,total,1052
2020,cancers,55,female,total,796
2020,cancers,60,female,total,573
2020,cancers,65,female,total,456
2020,cancers,70,female,total,286
2020,cancers,75,female,total,206
2020,cancers,80,female,total,137
2020,cancers,85,female,total,88
