year,name,age,sex,genotype,value
2020,total_cancer_deaths,0,female,total,0
2020,total_cancer_deaths,15,female,total,2
2020,total_cancer_deaths,20,female,total,11
2020,total_cancer_deaths,25,female,total,62
2020,total_cancer_deaths,30,female,total,178
2020,total_cancer_deaths,35,female,total,303
2020,total_cancer_deaths,40,female,total,466
2020,total_cancer_deaths,45,female,total,596
2020,total_cancer_deaths,50,female,total,639
2020,total_cancer_deaths,55,female,total,574
2020,total_cancer_deaths,60,female,total,505
2020,total_cancer_deaths,65,female,total,440
2020,total_cancer_deaths,70,female,total,287
2020,total_cancer_deaths,75,female,total,210
2020,total_cancer_deaths,80,female,total,138
2020,total_cancer_deaths,85,female,total,86
