year,n_alive
1950,17573124
1951,17890511
1952,18216934
1953,18567056
1954,18932203
1955,19320646
1956,19724931
1957,20146096
1958,20580923
1959,21021417
1960,21482668
1961,21958726
1962,22447492
1963,22951914
1964,23469460
1965,24006176
1966,24567580
1967,25141829
1968,25738228
1969,26349995
1970,26968962
1971,27599263
1972,28230644
1973,28873255
1974,29457457
1975,30046415
1976,30642137
1977,31240612
1978,31868584
1979,32502618
1980,33140941
1981,33790621
1982,34429574
1983,35055599
1984,35792924
1985,36526753
1986,37235286
1987,37909395
1988,38556948
1989,39179593
1990,39799245
1991,40399861
1992,40961205
1993,41514421
1994,42062182
1995,42612037
1996,43148335
1997,43698403
1998,44245688
1999,44786682
2000,45296590
2001,45780074
2002,46249578
2003,46710882
2004,47137704
2005,47539188
2006,47909755
2007,48266794
2008,48624498
2009,48834473
2010,49197200
2011,49584776
2012,50004267
2013,50432103
2014,50864564
2015,51280308
2016,51687590
2017,52097107
2018,52479575
2019,52852453
2020,53227971
2021,53618425
2022,53977744
2023,54380868
2024,54775126
2025,55154262
2026,55519305
2027,55872668
2028,56210543
2029,56533473
2030,56842131
2031,57133119
2032,57408783
2033,57668133
2034,57913820
2035,58140689
2036,58354292
2037,58555567
2038,58737993
2039,58908221
2040,59063400
2041,59204232
2042,59330333
2043,59444878
2044,59548453
2045,59642745
2046,59722775
2047,59788800
2048,59845475
2049,59889506
2050,59918786
2051,59940011
2052,59948991
2053,59945337
2054,59934320
2055,59911697
2056,59876707
2057,59832393
2058,59780406
2059,59716818
2060,59645226
2061,59567050
2062,59480475
2063,59384080
2064,59277412
2065,59165251
2066,59045201
2067,58921020
2068,58790773
2069,58652441
2070,58506429
2071,58358895
2072,58204525
2073,58046728
2074,57883871
2075,57715624
2076,57543562
2077,57367751
2078,57187809
2079,57002953
2080,56815523
2081,56627420
2082,56435587
2083,56240351
2084,56043381
2085,55844615
2086,55640850
2087,55432009
2088,55222338
2089,55009111
2090,54794111
2091,54577398
2092,54357821
2093,54136721
2094,53913023
2095,53688095
2096,53460687
2097,53233246
2098,53000777
2099,52768976
2100,52534861
2101,52300512
