,location,par1,par2,dist
0,Congo Democratic Republic,17.919697960464653,2.8321454122650294,lognormal
1,Ethiopia,17.919697960464653,2.8321454122650294,lognormal
2,Kenya,17.705068600282676,3.3299064547037016,lognormal
3,Nigeria,17.919697960464653,2.8321454122650294,lognormal
4,Tanzania,18.39559348476703,2.7041700923084426,lognormal
5,Uganda,18.616848509079883,2.8665946291840183,lognormal
6,India,20,2,lognormal
7,Indonesia,24.70538312709165,4.5314797994827485,lognormal
8,Bangladesh,17.919697960464653,2.8321454122650294,lognormal
9,Myanmar,23.947103965879602,4.122235694,lognormal
