,location,par1,par2,dist
0,Angola,18.121578218721407,4.1322691630333654,normal
1,Benin,19.80119835251115,3.646889546910189,normal
2,Burkina Faso,22.15093848161433,3.073890436340128,normal
3,Burundi,23.220387048048238,4.230479267509648,normal
4,Cameroon,20.7168127942153,3.8345909569821215,normal
5,Chad,22.01589805765605,3.2329980954365425,normal
6,Congo Democratic Republic,19.177996755888163,3.964905667760452,normal
7,Ethiopia,22.49756564583816,3.575500773923328,normal
8,Ghana,21.299847621193777,3.830035401307864,normal
9,Guinea,21.913922924390228,4.10336259661076,normal
10,Kenya,18.526875643097327,4.430441519206536,normal
11,Madagascar,19.40744735873097,3.151831411638874,normal
12,Malawi,19.686469767594524,3.8541301934174426,normal
13,Mali,22.07867538727666,3.9893753120490842,normal
14,Mozambique,18.98035850268226,3.8087743616245042,normal
15,Niger,23.894284926927856,3.6195895655224226,normal
16,Nigeria,22.79710728138214,4.177851934085581,normal
17,Rwanda,22.879131835979383,4.089154184276641,normal
18,Senegal,24.79869666422404,4.722594069743002,normal
19,Sierra Leone,19.774251100839756,3.251364600006999,normal
20,South Africa,19.280664622054285,3.6586801827179425,normal
21,Tanzania,19.788152094228668,3.6205168216111567,normal
22,Togo,20.54175656916913,3.6981703316136865,normal
23,Uganda,20.022801221075948,3.76346271984911,normal
24,Zambia,19.820470983084427,3.8454083330234163,normal
25,Zimbabwe,21.545921186371416,3.836901920729663,normal
