,location,par1,par2,dist
0,Congo Democratic Republic,17.013713232806225,2.722400189166891,lognormal
1,Ethiopia,16.771792032805386,2.419149200119716,lognormal
2,Kenya,18.283023006858972,3.2549033932208116,lognormal
3,Nigeria,15.413867713187244,2.7546376031680846,lognormal
4,Tanzania,17.33401630838652,2.1680691217833727,lognormal
5,Uganda,17.070537516937275,2.431205495785502,lognormal
6,India,15,2,lognormal
7,Indonesia,22.45350452920666,5.5389287281728015,lognormal
8,Bangladesh,16.634496981739883,3.878405586223207,lognormal
9,Myanmar,22.94279589866902,4.574020852832132,lognormal
