,location,par1,par2,dist
0,Angola,18.620344815327286,4.627436110344297,normal
1,Benin,18.34473896915147,3.240542695553314,normal
2,Burkina Faso,19.560435151814254,3.479709930879179,normal
3,Burundi,21.435050569010386,3.526041927321741,normal
4,Cameroon,18.58301849602558,3.9470574613210205,normal
5,Chad,18.36398394328995,5.89139587984225,normal
6,Congo Democratic Republic,18.234477351069422,4.53802020508665,normal
7,Ethiopia,18.532688247355004,5.001664206271374,normal
8,Ghana,19.95612836485859,3.9883817574103886,normal
9,Guinea,18.30714529968761,4.397303110653469,normal
10,Kenya,19.493887856283884,4.3538929649302,normal
11,Madagascar,18.387758650379176,3.700991763147646,normal
12,Malawi,18.42980626950553,3.9232886373597533,normal
13,Mali,18.355013328258945,3.9194264752631023,normal
14,Mozambique,18.063477253385297,4.0913838119442145,normal
15,Niger,17.896547229094303,5.152437382381913,normal
16,Nigeria,18.870471801213416,4.44600833515014,normal
17,Rwanda,21.922594738101925,3.4042420187696294,normal
18,Senegal,21.43696555915648,4.801000479140286,normal
19,Sierra Leone,17.350480580830286,3.7980012487643586,normal
20,South Africa,20.0,3.388013549702219,normal
21,Tanzania,18.839618972139192,3.495429546305235,normal
22,Togo,19.84640934630899,3.9856637335905374,normal
23,Uganda,18.436775060040453,4.083517528960622,normal
24,Zambia,18.67525622132455,3.8677912269163692,normal
25,Zimbabwe,20.18381192496246,3.2799245543240407,normal
