year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,14
2020,cancers,25,female,total,206
2020,cancers,30,female,total,467
2020,cancers,35,female,total,730
2020,cancers,40,female,total,968
2020,cancers,45,female,total,1151
2020,cancers,50,female,total,1273
2020,cancers,55,female,total,1440
2020,cancers,60,female,total,1430
2020,cancers,65,female,total,1177
2020,cancers,70,female,total,842
2020,cancers,75,female,total,413
2020,cancers,80,female,total,119
2020,cancers,85,female,total,1
