year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,4
2020,cancers,20,female,total,14
2020,cancers,25,female,total,118
2020,cancers,30,female,total,224
2020,cancers,35,female,total,333
2020,cancers,40,female,total,409
2020,cancers,45,female,total,403
2020,cancers,50,female,total,366
2020,cancers,55,female,total,363
2020,cancers,60,female,total,329
2020,cancers,65,female,total,268
2020,cancers,70,female,total,188
2020,cancers,75,female,total,101
2020,cancers,80,female,total,36
2020,cancers,85,female,total,5
