year,n_alive
1950,2321000
1951,2397600
1952,2474200
1953,2550800
1954,2627400
1955,2704000
1956,2793800
1957,2883600
1958,2973400
1959,3063200
1960,3153000
1961,3260600
1962,3368200
1963,3475800
1964,3583400
1965,3691000
1966,3817000
1967,3943000
1968,4069000
1969,4195000
1970,4321000
1971,4454400
1972,4587800
1973,4721200
1974,4854600
1975,4988000
1976,5150800
1977,5313600
1978,5476400
1979,5639200
1980,5802000
1981,5997400
1982,6192800
1983,6388200
1984,6583600
1985,6779000
1986,6980600
1987,7182200
1988,7383800
1989,7585400
1990,7787000
1991,7986400
1992,8185800
1993,8385200
1994,8584600
1995,8784000
1996,9030600
1997,9277200
1998,9523800
1999,9770400
2000,10017000
2001,10357400
2002,10697800
2003,11038200
2004,11378600
2005,11719000
2006,12168200
2007,12617400
2008,13066600
2009,13515800
2010,13965000
2011,14452000
2012,14939000
2013,15426000
2014,15913000
2015,16400000
2016,16931600
2017,17463200
2018,17994800
2019,18526400
2020,19058000
2021,19629200
2022,20200400
2023,20771600
2024,21342800
2025,21914000
2026,22536200
2027,23158400
2028,23780600
2029,24402800
2030,25025000
2031,25672800
2032,26320600
2033,26968400
2034,27616200
2035,28264000
2036,28921600
2037,29579200
2038,30236800
2039,30894400
2040,31552000
2041,32206200
2042,32860400
2043,33514600
2044,34168800
2045,34823000
2046,35475200
2047,36127400
2048,36779600
2049,37431800
2050,38084000
2051,38726600
2052,39369200
2053,40011800
2054,40654400
2055,41297000
2056,41930800
2057,42564600
2058,43198400
2059,43832200
2060,44466000
2061,45083200
2062,45700400
2063,46317600
2064,46934800
2065,47552000
2066,48143800
2067,48735600
2068,49327400
2069,49919200
2070,50511000
2071,51074400
2072,51637800
2073,52201200
2074,52764600
2075,53328000
2076,53857600
2077,54387200
2078,54916800
2079,55446400
2080,55976000
2081,56467800
2082,56959600
2083,57451400
2084,57943200
2085,58435000
2086,58883800
2087,59332600
2088,59781400
2089,60230200
2090,60679000
2091,61083200
2092,61487400
2093,61891600
2094,62295800
2095,62700000
2096,63054400
2097,63408800
2098,63763200
2099,64117600
2100,64472000
2101,64472000
